CMDLINE python bst.py
MEM 75.199219 1683720366.7999
MEM 75.199219 1683720366.9031
MEM 75.199219 1683720367.0078
MEM 75.199219 1683720367.1126
MEM 75.199219 1683720367.2128
MEM 75.199219 1683720367.3157
MEM 75.199219 1683720367.4159
MEM 75.199219 1683720367.5192
MEM 75.199219 1683720367.6210
MEM 75.199219 1683720367.7230
MEM 75.199219 1683720367.8238
MEM 75.199219 1683720367.9270
MEM 75.199219 1683720368.0284
MEM 75.199219 1683720368.1287
MEM 75.199219 1683720368.2292
MEM 75.199219 1683720368.3308
MEM 75.199219 1683720368.4312
MEM 75.199219 1683720368.5322
MEM 75.199219 1683720368.6328
MEM 75.199219 1683720368.7335
MEM 75.199219 1683720368.8354
MEM 75.199219 1683720368.9406
MEM 75.199219 1683720369.0409
MEM 75.199219 1683720369.1424
MEM 75.199219 1683720369.2428
MEM 75.199219 1683720369.3454
MEM 75.199219 1683720369.4460
MEM 75.199219 1683720369.5491
MEM 75.199219 1683720369.6533
MEM 75.199219 1683720369.7564
MEM 75.199219 1683720369.8591
MEM 75.199219 1683720369.9593
MEM 75.199219 1683720370.0620
MEM 75.199219 1683720370.1638
MEM 75.199219 1683720370.2646
MEM 75.199219 1683720370.3653
MEM 75.199219 1683720370.4674
MEM 75.199219 1683720370.5712
MEM 75.199219 1683720370.6737
MEM 75.199219 1683720370.7784
MEM 75.199219 1683720370.8793
MEM 75.199219 1683720370.9824
MEM 75.199219 1683720371.0867
MEM 75.199219 1683720371.1918
MEM 75.199219 1683720371.2932
MEM 75.199219 1683720371.3955
MEM 75.199219 1683720371.4999
MEM 75.199219 1683720371.6023
MEM 75.199219 1683720371.7069
MEM 75.199219 1683720371.8104
MEM 75.199219 1683720371.9135
MEM 75.199219 1683720372.0144
MEM 75.199219 1683720372.1184
MEM 75.199219 1683720372.2215
MEM 75.199219 1683720372.3253
MEM 75.199219 1683720372.4290
MEM 75.199219 1683720372.5323
MEM 75.199219 1683720372.6326
MEM 75.199219 1683720372.7352
MEM 75.199219 1683720372.8372
MEM 75.199219 1683720372.9412
MEM 75.199219 1683720373.0461
MEM 75.199219 1683720373.1501
MEM 75.199219 1683720373.2525
MEM 75.199219 1683720373.3551
MEM 75.199219 1683720373.4581
MEM 75.199219 1683720373.5615
MEM 75.199219 1683720373.6664
MEM 75.304688 1683720373.7713
MEM 75.304688 1683720373.8762
MEM 75.304688 1683720373.9801
MEM 75.304688 1683720374.0852
MEM 75.304688 1683720374.1899
MEM 75.304688 1683720374.2935
MEM 75.304688 1683720374.3938
MEM 75.304688 1683720374.4984
MEM 75.304688 1683720374.6008
MEM 75.304688 1683720374.7029
MEM 75.304688 1683720374.8052
MEM 75.304688 1683720374.9069
MEM 75.304688 1683720375.0105
MEM 75.304688 1683720375.1122
MEM 75.304688 1683720375.2161
MEM 75.304688 1683720375.3191
MEM 75.304688 1683720375.4233
MEM 75.304688 1683720375.5280
MEM 75.304688 1683720375.6330
MEM 75.671875 1683720375.7366
MEM 76.113281 1683720375.8373
MEM 76.183594 1683720375.9402
MEM 76.183594 1683720376.0449
MEM 76.183594 1683720376.1456
MEM 76.183594 1683720376.2477
MEM 76.183594 1683720376.3524
MEM 76.183594 1683720376.4547
MEM 76.183594 1683720376.5578
MEM 76.183594 1683720376.6627
MEM 76.183594 1683720376.7669
MEM 76.183594 1683720376.8715
MEM 76.183594 1683720376.9753
MEM 76.183594 1683720377.0798
MEM 76.183594 1683720377.1805
MEM 76.183594 1683720377.2825
MEM 76.183594 1683720377.3852
MEM 76.183594 1683720377.4857
MEM 76.183594 1683720377.5891
MEM 76.183594 1683720377.6909
MEM 76.183594 1683720377.7946
MEM 76.183594 1683720377.8961
MEM 76.183594 1683720377.9971
MEM 76.183594 1683720378.0977
MEM 76.183594 1683720378.2015
MEM 76.183594 1683720378.3023
MEM 76.183594 1683720378.4065
MEM 76.183594 1683720378.5108
MEM 76.183594 1683720378.6158
MEM 76.183594 1683720378.7210
MEM 76.183594 1683720378.8257
MEM 76.183594 1683720378.9299
MEM 76.183594 1683720379.0345
MEM 76.183594 1683720379.1373
MEM 76.183594 1683720379.2425
MEM 76.183594 1683720379.3467
MEM 76.183594 1683720379.4477
MEM 76.183594 1683720379.5482
MEM 76.183594 1683720379.6522
MEM 76.183594 1683720379.7535
MEM 76.183594 1683720379.8559
MEM 76.183594 1683720379.9599
MEM 76.183594 1683720380.0620
MEM 76.183594 1683720380.1660
